ID,lineage,cell,MYC
ACH-000545,urinary_tract,VMCUB1,1.336899367
ACH-000546,upper_aerodigestive,HSC4,1.120539117
ACH-000547,urinary_tract,HT1197,0.904560852
ACH-000548,upper_aerodigestive,BHY,1.25486693
ACH-000549,upper_aerodigestive,SNU1076,1.255143489
ACH-000550,skin,IGR39,1.197505759
ACH-000551,blood,K562,0.997864083
ACH-000552,colorectal,HT29,2.050393413
ACH-000553,lung,SQ1,1.011064103
ACH-000554,breast,UACC893,1.391853357
ACH-000555,kidney,A498,1.383568283
ACH-000556,cervix,SIHA,1.174916837
ACH-000557,blood,AML193,1.257544657
ACH-000558,central_nervous_system,A172,0.930299085
ACH-000559,lung,NCIH1836,1.206955208
ACH-000560,gastric,ECC10,1.396772774
ACH-000561,esophagus,TDOTT,1.470866783
ACH-000562,lung,HCC78,1.053109958
ACH-000563,lung,EBC1,1.199537725
ACH-000564,plasma_cell,KHM1B,1.236338861
ACH-000565,colorectal,RCM1,1.136250302
ACH-000566,urinary_tract,SW1710,1.320920629
ACH-000567,lymphocyte,ST486,0.972746385
ACH-000568,breast,UACC812,1.244780761
ACH-000569,lung,ISTMES1,1.547681571
ACH-000570,central_nervous_system,YKG1,1.10774101
ACH-000571,central_nervous_system,T98G,1.1530244
ACH-000572,skin,G361,1.147189693
ACH-000573,breast,MDAMB436,1.494545039
ACH-000574,ovary,FUOV1,2.263342833
ACH-000575,lung,HCC364,1.113705309
ACH-000576,plasma_cell,KMS27,1.33850452
ACH-000577,liver,JHH2,1.36744605
ACH-000578,lung,HCC1171,1.288552685
ACH-000579,skin,UACC257,1.102329461
ACH-000580,skin,C32,1.292962326
ACH-000581,gastric,SNU16,4.943777314
ACH-000582,skin,COLO741,0.774484751
ACH-000583,lymphocyte,MC116,0.996009035
ACH-000584,ovary,JHOS4,1.410279971
ACH-000585,lung,EPLC272H,1.252380193
ACH-000586,lung,NCIH1876,0.884038466
ACH-000587,lung,NCIH1975,3.551337885
ACH-000588,plasma_cell,KMS26,1.403967753
ACH-000589,lung,NCIH1437,1.410656129
ACH-000590,lung,NCIH2073,1.512952046
ACH-000591,central_nervous_system,LN235,1.178261901
ACH-000592,central_nervous_system,TM31,1.655100214
ACH-000593,urinary_tract,BC3C,1.351246104
ACH-000594,lung,DMS153,1.041122367
ACH-000595,central_nervous_system,LN229,1.062370514
ACH-000596,lung,LCLC97TM1,1.398764528
ACH-000597,soft_tissue,TTC709,1.052154928
ACH-000598,plasma_cell,KMS21BM,1.06754418
ACH-000599,pancreas,PATU8902,1.371859761
ACH-000600,kidney,SLR26,1.371033381
